[train] config: {'train_mode': 'lora_decoder', 'mode': 'single_gundam', 'train_jsonl': 'data/olmocr_train_v1/train.jsonl', 'output_dir': 'outputs/lora_decoder_olmocr_v1', 'gpu': '0', 'seed': 0, 'batch_size': 1, 'grad_accum': 2, 'max_steps': 150, 'warmup_steps': 15, 'lr': 0.0001, 'max_grad_norm': 1.0, 'save_every': 50, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'gradient_checkpointing': True}
Some weights of UnlimitedOCRForCausalLM were not initialized from the model checkpoint at /mnt1/yixuan/unlimited-ocr-posttrain/models/baidu_Unlimited-OCR and are newly initialized: ['model.vision_model.embeddings.position_ids']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[model_loader] loaded; _attn_implementation=eager; use_cache=False
[train_modes] lora_decoder: 84 LoRA modules (attn=48, dense_mlp=3, shared_experts=33, routed_experts=0)
[train_modes] trainable=3.98M / total=3340.08M (0.119%)
[train] gradient_checkpointing enabled (non-reentrant, post-peft)
[train] step 1/150 loss=0.0966 lr=6.67e-06
[train] step 2/150 loss=0.0323 lr=1.33e-05
[train] step 3/150 loss=0.1501 lr=2.00e-05
[train] step 4/150 loss=0.0641 lr=2.67e-05
[train] step 5/150 loss=0.1404 lr=3.33e-05
[train] step 6/150 loss=0.1216 lr=4.00e-05
[train] step 7/150 loss=0.1823 lr=4.67e-05
[train] step 8/150 loss=0.1150 lr=5.33e-05
[train] step 9/150 loss=0.0325 lr=6.00e-05
[train] step 10/150 loss=1.2022 lr=6.67e-05
[train] step 11/150 loss=0.1941 lr=7.33e-05
[train] step 12/150 loss=2.5571 lr=8.00e-05
[train] step 13/150 loss=0.2329 lr=8.67e-05
[train] step 14/150 loss=0.8146 lr=9.33e-05
[train] step 15/150 loss=0.4388 lr=1.00e-04
[train] step 16/150 loss=0.0306 lr=1.00e-04
[train] step 17/150 loss=0.0942 lr=9.99e-05
[train] step 18/150 loss=0.1029 lr=9.99e-05
[train] step 19/150 loss=0.2424 lr=9.98e-05
[train] step 20/150 loss=0.0632 lr=9.97e-05
[train] step 21/150 loss=0.0294 lr=9.95e-05
[train] step 22/150 loss=0.0322 lr=9.93e-05
[train] step 23/150 loss=0.6893 lr=9.91e-05
[train] step 24/150 loss=0.5797 lr=9.89e-05
[train] step 25/150 loss=0.0245 lr=9.87e-05
[train] step 26/150 loss=0.4972 lr=9.84e-05
[train] step 27/150 loss=0.3026 lr=9.81e-05
[train] step 28/150 loss=0.1030 lr=9.77e-05
[train] step 29/150 loss=0.0846 lr=9.74e-05
[train] step 30/150 loss=0.0607 lr=9.70e-05
[train] step 31/150 loss=0.3852 lr=9.66e-05
[train] step 32/150 loss=0.8322 lr=9.61e-05
[train] step 33/150 loss=0.0307 lr=9.57e-05
[train] step 34/150 loss=0.0297 lr=9.52e-05
[train] step 35/150 loss=0.2083 lr=9.47e-05
[train] step 36/150 loss=0.3627 lr=9.41e-05
[train] step 37/150 loss=0.0741 lr=9.36e-05
[train] step 38/150 loss=0.0337 lr=9.30e-05
[train] step 39/150 loss=0.0557 lr=9.24e-05
[train] step 40/150 loss=0.0340 lr=9.18e-05
[train] step 41/150 loss=0.2776 lr=9.11e-05
[train] step 42/150 loss=0.6493 lr=9.05e-05
[train] step 43/150 loss=0.0022 lr=8.98e-05
[train] step 44/150 loss=0.4413 lr=8.90e-05
[train] step 45/150 loss=0.0741 lr=8.83e-05
[train] step 46/150 loss=0.0528 lr=8.75e-05
[train] step 47/150 loss=0.4321 lr=8.68e-05
[train] step 48/150 loss=0.0759 lr=8.60e-05
[train] step 49/150 loss=0.1036 lr=8.51e-05
[train] step 50/150 loss=0.0119 lr=8.43e-05
[train] checkpoint -> outputs/lora_decoder_olmocr_v1/step_50
[train] step 51/150 loss=3.1400 lr=8.35e-05
[train] step 52/150 loss=0.0327 lr=8.26e-05
[train] step 53/150 loss=0.0187 lr=8.17e-05
[train] step 54/150 loss=0.0433 lr=8.08e-05
[train] step 55/150 loss=0.0073 lr=7.99e-05
[train] step 56/150 loss=0.0380 lr=7.89e-05
[train] step 57/150 loss=0.0241 lr=7.80e-05
[train] step 58/150 loss=0.1644 lr=7.70e-05
[train] step 59/150 loss=0.0082 lr=7.60e-05
[train] step 60/150 loss=0.0718 lr=7.50e-05
[train] step 61/150 loss=0.0347 lr=7.40e-05
[train] step 62/150 loss=0.1478 lr=7.30e-05
[train] step 63/150 loss=0.0257 lr=7.19e-05
[train] step 64/150 loss=0.4620 lr=7.09e-05
[train] step 65/150 loss=0.0854 lr=6.98e-05
[train] step 66/150 loss=0.0089 lr=6.87e-05
[train] step 67/150 loss=0.0190 lr=6.76e-05
[train] step 68/150 loss=0.6720 lr=6.66e-05
[train] step 69/150 loss=0.2560 lr=6.55e-05
[train] step 70/150 loss=0.5984 lr=6.43e-05
[train] step 71/150 loss=0.1434 lr=6.32e-05
[train] step 72/150 loss=0.3395 lr=6.21e-05
[train] step 73/150 loss=0.1478 lr=6.10e-05
[train] step 74/150 loss=0.6090 lr=5.98e-05
[train] step 75/150 loss=0.1311 lr=5.87e-05
[train] step 76/150 loss=0.1123 lr=5.75e-05
[train] step 77/150 loss=0.1813 lr=5.64e-05
[train] step 78/150 loss=0.0035 lr=5.52e-05
[train] step 79/150 loss=0.0427 lr=5.41e-05
[train] step 80/150 loss=0.1724 lr=5.29e-05
[train] step 81/150 loss=0.1458 lr=5.17e-05
[train] step 82/150 loss=0.0104 lr=5.06e-05
[train] step 83/150 loss=0.0238 lr=4.94e-05
[train] step 84/150 loss=0.0289 lr=4.83e-05
[train] step 85/150 loss=0.0647 lr=4.71e-05
[train] step 86/150 loss=0.3428 lr=4.59e-05
[train] step 87/150 loss=0.0693 lr=4.48e-05
[train] step 88/150 loss=0.3554 lr=4.36e-05
[train] step 89/150 loss=0.0019 lr=4.25e-05
[train] step 90/150 loss=0.2907 lr=4.13e-05
[train] step 91/150 loss=0.8041 lr=4.02e-05
[train] step 92/150 loss=0.0104 lr=3.90e-05
[train] step 93/150 loss=0.0593 lr=3.79e-05
[train] step 94/150 loss=0.3390 lr=3.68e-05
[train] step 95/150 loss=0.0389 lr=3.57e-05
[train] step 96/150 loss=0.1918 lr=3.45e-05
[train] step 97/150 loss=0.1812 lr=3.34e-05
[train] step 98/150 loss=0.3274 lr=3.24e-05
[train] step 99/150 loss=0.0046 lr=3.13e-05
[train] step 100/150 loss=0.3461 lr=3.02e-05
[train] checkpoint -> outputs/lora_decoder_olmocr_v1/step_100
[train] step 101/150 loss=0.1325 lr=2.91e-05
[train] step 102/150 loss=0.0360 lr=2.81e-05
[train] step 103/150 loss=0.1417 lr=2.70e-05
[train] step 104/150 loss=0.0887 lr=2.60e-05
[train] step 105/150 loss=0.8654 lr=2.50e-05
[train] step 106/150 loss=0.0045 lr=2.40e-05
[train] step 107/150 loss=0.0847 lr=2.30e-05
[train] step 108/150 loss=0.3787 lr=2.20e-05
[train] step 109/150 loss=0.0197 lr=2.11e-05
[train] step 110/150 loss=0.0389 lr=2.01e-05
[train] step 111/150 loss=0.0261 lr=1.92e-05
[train] step 112/150 loss=0.0060 lr=1.83e-05
[train] step 113/150 loss=0.0401 lr=1.74e-05
[train] step 114/150 loss=0.4714 lr=1.65e-05
[train] step 115/150 loss=1.4174 lr=1.57e-05
[train] step 116/150 loss=0.0159 lr=1.49e-05
[train] step 117/150 loss=0.0452 lr=1.40e-05
[train] step 118/150 loss=0.0244 lr=1.32e-05
[train] step 119/150 loss=0.2162 lr=1.25e-05
[train] step 120/150 loss=0.2701 lr=1.17e-05
[train] step 121/150 loss=0.1485 lr=1.10e-05
[train] step 122/150 loss=0.0219 lr=1.02e-05
[train] step 123/150 loss=0.1430 lr=9.55e-06
[train] step 124/150 loss=0.0383 lr=8.88e-06
[train] step 125/150 loss=0.0811 lr=8.23e-06
[train] step 126/150 loss=0.0836 lr=7.60e-06
[train] step 127/150 loss=0.0335 lr=6.99e-06
[train] step 128/150 loss=0.7148 lr=6.41e-06
[train] step 129/150 loss=0.0927 lr=5.85e-06
[train] step 130/150 loss=0.0166 lr=5.32e-06
[train] step 131/150 loss=0.2989 lr=4.81e-06
[train] step 132/150 loss=0.0292 lr=4.32e-06
[train] step 133/150 loss=0.0427 lr=3.86e-06
[train] step 134/150 loss=0.0126 lr=3.43e-06
[train] step 135/150 loss=0.1625 lr=3.02e-06
[train] step 136/150 loss=0.2706 lr=2.63e-06
[train] step 137/150 loss=0.0356 lr=2.27e-06
[train] step 138/150 loss=0.1388 lr=1.94e-06
[train] step 139/150 loss=0.2915 lr=1.63e-06
[train] step 140/150 loss=0.1017 lr=1.35e-06
[train] step 141/150 loss=0.0703 lr=1.09e-06
[train] step 142/150 loss=0.0154 lr=8.64e-07
[train] step 143/150 loss=0.0019 lr=6.62e-07
[train] step 144/150 loss=1.6117 lr=4.87e-07
[train] step 145/150 loss=0.4912 lr=3.38e-07
[train] step 146/150 loss=0.0347 lr=2.16e-07
[train] step 147/150 loss=0.2390 lr=1.22e-07
[train] step 148/150 loss=0.0543 lr=5.41e-08
[train] step 149/150 loss=0.1906 lr=1.35e-08
[train] step 150/150 loss=0.0680 lr=0.00e+00
[train] saved to outputs/lora_decoder_olmocr_v1
[train] loss first=0.0966 last=0.0680 finite=True
train_ok
