[train] config: {'train_mode': 'lora_decoder', 'mode': 'single_gundam', 'train_jsonl': 'data/olmocr_train_v1/train.jsonl', 'output_dir': 'outputs/lora_decoder_rswa_v1', 'rswa_train': True, 'rswa_window': 128, 'gpu': '0', 'seed': 0, 'batch_size': 1, 'grad_accum': 2, 'max_steps': 150, 'warmup_steps': 15, 'lr': 0.0001, 'max_grad_norm': 1.0, 'save_every': 50, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'gradient_checkpointing': True}
Some weights of UnlimitedOCRForCausalLM were not initialized from the model checkpoint at /mnt1/yixuan/unlimited-ocr-posttrain/models/baidu_Unlimited-OCR and are newly initialized: ['model.vision_model.embeddings.position_ids']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[model_loader] loaded; _attn_implementation=eager; use_cache=False
[rswa] patched modeling_deepseekv2._prepare_4d_causal_attention_mask
[train] R-SWA training mask ON (window=128)
[train_modes] lora_decoder: 84 LoRA modules (attn=48, dense_mlp=3, shared_experts=33, routed_experts=0)
[train_modes] trainable=3.98M / total=3340.08M (0.119%)
[train] gradient_checkpointing enabled (non-reentrant, post-peft)
[rswa] R-SWA mask APPLIED at mask-build: shape=(1, 1, 1847, 1847)
[train] step 1/150 loss=0.0976 lr=6.67e-06
[train] step 2/150 loss=0.0310 lr=1.33e-05
[train] step 3/150 loss=0.1529 lr=2.00e-05
[train] step 4/150 loss=0.0660 lr=2.67e-05
[train] step 5/150 loss=0.1433 lr=3.33e-05
[train] step 6/150 loss=0.1209 lr=4.00e-05
[train] step 7/150 loss=0.1989 lr=4.67e-05
[train] step 8/150 loss=0.1510 lr=5.33e-05
[train] step 9/150 loss=0.0337 lr=6.00e-05
[train] step 10/150 loss=1.2447 lr=6.67e-05
[train] step 11/150 loss=0.2243 lr=7.33e-05
[train] step 12/150 loss=2.5538 lr=8.00e-05
[train] step 13/150 loss=0.2513 lr=8.67e-05
[train] step 14/150 loss=1.0615 lr=9.33e-05
[train] step 15/150 loss=0.5013 lr=1.00e-04
[train] step 16/150 loss=0.0374 lr=1.00e-04
[train] step 17/150 loss=0.1435 lr=9.99e-05
[train] step 18/150 loss=0.1140 lr=9.99e-05
[train] step 19/150 loss=0.2452 lr=9.98e-05
[train] step 20/150 loss=0.0626 lr=9.97e-05
[train] step 21/150 loss=0.0302 lr=9.95e-05
[train] step 22/150 loss=0.0399 lr=9.93e-05
[train] step 23/150 loss=0.7321 lr=9.91e-05
[train] step 24/150 loss=0.5599 lr=9.89e-05
[train] step 25/150 loss=0.0285 lr=9.87e-05
[train] step 26/150 loss=0.5071 lr=9.84e-05
[train] step 27/150 loss=0.2957 lr=9.81e-05
[train] step 28/150 loss=0.1301 lr=9.77e-05
[train] step 29/150 loss=0.0885 lr=9.74e-05
[train] step 30/150 loss=0.0572 lr=9.70e-05
[train] step 31/150 loss=0.4572 lr=9.66e-05
[train] step 32/150 loss=0.8197 lr=9.61e-05
[train] step 33/150 loss=0.0338 lr=9.57e-05
[train] step 34/150 loss=0.0292 lr=9.52e-05
[train] step 35/150 loss=0.2083 lr=9.47e-05
[train] step 36/150 loss=0.3752 lr=9.41e-05
[train] step 37/150 loss=0.0740 lr=9.36e-05
[train] step 38/150 loss=0.0319 lr=9.30e-05
[train] step 39/150 loss=0.0566 lr=9.24e-05
[train] step 40/150 loss=0.0308 lr=9.18e-05
[train] step 41/150 loss=0.2894 lr=9.11e-05
[train] step 42/150 loss=0.6338 lr=9.05e-05
[train] step 43/150 loss=0.0032 lr=8.98e-05
[train] step 44/150 loss=0.4382 lr=8.90e-05
[train] step 45/150 loss=0.0911 lr=8.83e-05
[train] step 46/150 loss=0.0546 lr=8.75e-05
[train] step 47/150 loss=0.4511 lr=8.68e-05
[train] step 48/150 loss=0.0746 lr=8.60e-05
[train] step 49/150 loss=0.1103 lr=8.51e-05
[train] step 50/150 loss=0.0147 lr=8.43e-05
[train] checkpoint -> outputs/lora_decoder_rswa_v1/step_50
[train] step 51/150 loss=3.1452 lr=8.35e-05
[train] step 52/150 loss=0.0364 lr=8.26e-05
[train] step 53/150 loss=0.0222 lr=8.17e-05
[train] step 54/150 loss=0.0438 lr=8.08e-05
[train] step 55/150 loss=0.0073 lr=7.99e-05
[train] step 56/150 loss=0.0399 lr=7.89e-05
[train] step 57/150 loss=0.0248 lr=7.80e-05
[train] step 58/150 loss=0.1647 lr=7.70e-05
[train] step 59/150 loss=0.0075 lr=7.60e-05
[train] step 60/150 loss=0.0676 lr=7.50e-05
[train] step 61/150 loss=0.0373 lr=7.40e-05
[train] step 62/150 loss=0.1429 lr=7.30e-05
[train] step 63/150 loss=0.0300 lr=7.19e-05
[train] step 64/150 loss=0.4581 lr=7.09e-05
[train] step 65/150 loss=0.0924 lr=6.98e-05
[train] step 66/150 loss=0.0088 lr=6.87e-05
[train] step 67/150 loss=0.0175 lr=6.76e-05
[train] step 68/150 loss=0.6704 lr=6.66e-05
[train] step 69/150 loss=0.3112 lr=6.55e-05
[train] step 70/150 loss=0.5755 lr=6.43e-05
[train] step 71/150 loss=0.1726 lr=6.32e-05
[train] step 72/150 loss=0.4044 lr=6.21e-05
[train] step 73/150 loss=0.1569 lr=6.10e-05
[train] step 74/150 loss=0.6553 lr=5.98e-05
[train] step 75/150 loss=0.1312 lr=5.87e-05
[train] step 76/150 loss=0.1450 lr=5.75e-05
[train] step 77/150 loss=0.1992 lr=5.64e-05
[train] step 78/150 loss=0.0040 lr=5.52e-05
[train] step 79/150 loss=0.0462 lr=5.41e-05
[train] step 80/150 loss=0.1782 lr=5.29e-05
[train] step 81/150 loss=0.1529 lr=5.17e-05
[train] step 82/150 loss=0.0099 lr=5.06e-05
[train] step 83/150 loss=0.0242 lr=4.94e-05
[train] step 84/150 loss=0.0348 lr=4.83e-05
[train] step 85/150 loss=0.0667 lr=4.71e-05
[train] step 86/150 loss=0.3466 lr=4.59e-05
[train] step 87/150 loss=0.0907 lr=4.48e-05
[train] step 88/150 loss=0.3521 lr=4.36e-05
[train] step 89/150 loss=0.0022 lr=4.25e-05
[train] step 90/150 loss=0.2883 lr=4.13e-05
[train] step 91/150 loss=0.8185 lr=4.02e-05
[train] step 92/150 loss=0.0120 lr=3.90e-05
[train] step 93/150 loss=0.0728 lr=3.79e-05
[train] step 94/150 loss=0.3587 lr=3.68e-05
[train] step 95/150 loss=0.0502 lr=3.57e-05
[train] step 96/150 loss=0.2390 lr=3.45e-05
[train] step 97/150 loss=0.1935 lr=3.34e-05
[train] step 98/150 loss=0.3257 lr=3.24e-05
[train] step 99/150 loss=0.0065 lr=3.13e-05
[train] step 100/150 loss=0.3376 lr=3.02e-05
[train] checkpoint -> outputs/lora_decoder_rswa_v1/step_100
[train] step 101/150 loss=0.1324 lr=2.91e-05
[train] step 102/150 loss=0.0426 lr=2.81e-05
[train] step 103/150 loss=0.1558 lr=2.70e-05
[train] step 104/150 loss=0.0996 lr=2.60e-05
[train] step 105/150 loss=0.8702 lr=2.50e-05
[train] step 106/150 loss=0.0048 lr=2.40e-05
[train] step 107/150 loss=0.0910 lr=2.30e-05
[train] step 108/150 loss=0.3954 lr=2.20e-05
[train] step 109/150 loss=0.0201 lr=2.11e-05
[train] step 110/150 loss=0.0407 lr=2.01e-05
[train] step 111/150 loss=0.0259 lr=1.92e-05
[train] step 112/150 loss=0.0064 lr=1.83e-05
[train] step 113/150 loss=0.0468 lr=1.74e-05
[train] step 114/150 loss=0.4868 lr=1.65e-05
[train] step 115/150 loss=1.5178 lr=1.57e-05
[train] step 116/150 loss=0.0211 lr=1.49e-05
[train] step 117/150 loss=0.0482 lr=1.40e-05
[train] step 118/150 loss=0.0239 lr=1.32e-05
[train] step 119/150 loss=0.2072 lr=1.25e-05
[train] step 120/150 loss=0.2832 lr=1.17e-05
